,country,label,growth
0,Reunion,Hydroelectricity,0.0
1,Reunion,Biomass and waste,0.0
2,Reunion,Geothermal,0.0
3,Reunion,Solar,0.5000000000000002
4,Reunion,Wind,0.0
5,Reunion,Tide and wave,0.0
0,Costa Rica,Hydroelectricity,0.19444444444444442
1,Costa Rica,Biomass and waste,0.0
2,Costa Rica,Geothermal,-0.2142857142857142
3,Costa Rica,Solar,0.0
4,Costa Rica,Wind,1.6
5,Costa Rica,Tide and wave,0.0
0,Namibia,Hydroelectricity,0.0
1,Namibia,Biomass and waste,0.0
2,Namibia,Geothermal,0.0
3,Namibia,Solar,0.0
4,Namibia,Wind,0.0
5,Namibia,Tide and wave,0.0
0,Solomon Islands,Hydroelectricity,0.0
1,Solomon Islands,Biomass and waste,0.0
2,Solomon Islands,Geothermal,0.0
3,Solomon Islands,Solar,0.0
4,Solomon Islands,Wind,0.0
5,Solomon Islands,Tide and wave,0.0
0,South Sudan,Hydroelectricity,0.0
1,South Sudan,Biomass and waste,0.0
2,South Sudan,Geothermal,0.0
3,South Sudan,Solar,0.0
4,South Sudan,Wind,0.0
5,South Sudan,Tide and wave,0.0
0,Iraq,Hydroelectricity,-0.6744186046511629
1,Iraq,Biomass and waste,0.0
2,Iraq,Geothermal,0.0
3,Iraq,Solar,0.0
4,Iraq,Wind,0.0
5,Iraq,Tide and wave,0.0
0,Saint Kitts and Nevis,Hydroelectricity,0.0
1,Saint Kitts and Nevis,Biomass and waste,0.0
2,Saint Kitts and Nevis,Geothermal,0.0
3,Saint Kitts and Nevis,Solar,0.0
4,Saint Kitts and Nevis,Wind,0.0
5,Saint Kitts and Nevis,Tide and wave,0.0
0,Zimbabwe,Hydroelectricity,-0.26415094339622636
1,Zimbabwe,Biomass and waste,0.0
2,Zimbabwe,Geothermal,0.0
3,Zimbabwe,Solar,0.0
4,Zimbabwe,Wind,0.0
5,Zimbabwe,Tide and wave,0.0
0,Guyana,Hydroelectricity,0.0
1,Guyana,Biomass and waste,0.0
2,Guyana,Geothermal,0.0
3,Guyana,Solar,0.0
4,Guyana,Wind,0.0
5,Guyana,Tide and wave,0.0
0,Nepal,Hydroelectricity,0.3142857142857143
1,Nepal,Biomass and waste,0.0
2,Nepal,Geothermal,0.0
3,Nepal,Solar,0.0
4,Nepal,Wind,0.0
5,Nepal,Tide and wave,0.0
0,Sweden,Hydroelectricity,-0.16666666666666663
1,Sweden,Biomass and waste,0.07692307692307687
2,Sweden,Geothermal,0.0
3,Sweden,Solar,0.0
4,Sweden,Wind,1.5
5,Sweden,Tide and wave,0.0
0,Argentina,Hydroelectricity,0.054054054054053946
1,Argentina,Biomass and waste,-0.12499999999999989
2,Argentina,Geothermal,0.0
3,Argentina,Solar,0.0
4,Argentina,Wind,0.5000000000000002
5,Argentina,Tide and wave,0.0
0,Saint Lucia,Hydroelectricity,0.0
1,Saint Lucia,Biomass and waste,0.0
2,Saint Lucia,Geothermal,0.0
3,Saint Lucia,Solar,0.0
4,Saint Lucia,Wind,0.0
5,Saint Lucia,Tide and wave,0.0
0,Uzbekistan,Hydroelectricity,0.2575757575757578
1,Uzbekistan,Biomass and waste,0.0
2,Uzbekistan,Geothermal,0.0
3,Uzbekistan,Solar,0.0
4,Uzbekistan,Wind,0.0
5,Uzbekistan,Tide and wave,0.0
0,Hungary,Hydroelectricity,0.0
1,Hungary,Biomass and waste,0.2777777777777777
2,Hungary,Geothermal,0.0
3,Hungary,Solar,0.0
4,Hungary,Wind,0.0
5,Hungary,Tide and wave,0.0
