iso,country,dominant_source,score
MDG,Madagascar,Renewable,-1
NAM,Namibia,Renewable,-1
ABW,Aruba,Fossil fuels,1
PRY,Paraguay,Renewable,-1
UKR,Ukraine,Nuclear,0
SHN,Saint Helena,Fossil fuels,1
SDN,Sudan,Renewable,-1
KIR,Kiribati,Nuclear,0
GTM,Guatemala,Renewable,-1
MAC,Macau,Fossil fuels,1
VUT,Vanuatu,Nuclear,0
LSO,Lesotho,Renewable,-1
HRV,Croatia,Renewable,-1
URY,Uruguay,Renewable,-1
BFA,Burkina Faso,Fossil fuels,1
COK,Cook Islands,Fossil fuels,1
NIU,Niue,Fossil fuels,1
MEX,Mexico,Fossil fuels,1
HKG,Hong Kong,Fossil fuels,1
IND,India,Fossil fuels,1
REU,Reunion,Fossil fuels,1
VIR,U.S. Virgin Islands,Fossil fuels,1
CHN,China,Fossil fuels,1
BIH,Bosnia and Herzegovina,Fossil fuels,1
POL,Poland,Fossil fuels,1
ATG,Antigua and Barbuda,Fossil fuels,1
SSD,South Sudan,Fossil fuels,1
QAT,Qatar,Fossil fuels,1
TUN,Tunisia,Fossil fuels,1
BMU,Bermuda,Fossil fuels,1
WAK,Wake Island,Nuclear,0
PRI,Puerto Rico,Fossil fuels,1
ERI,Eritrea,Fossil fuels,1
CHE,Switzerland,Renewable,-1
SUR,Suriname,Renewable,-1
SAU,Saudi Arabia,Fossil fuels,1
ZAF,South Africa,Fossil fuels,1
SLB,Solomon Islands,Fossil fuels,1
ATA,Antarctica,Fossil fuels,1
SWE,Sweden,Renewable,-1
UNK,Kosovo,Fossil fuels,1
EST,Estonia,Fossil fuels,1
AUS,Australia,Fossil fuels,1
GUM,Guam,Fossil fuels,1
NER,Niger,Fossil fuels,1
STP,Sao Tome and Principe,Fossil fuels,1
NLD,Netherlands,Fossil fuels,1
MMR,Burma,Renewable,-1
GNQ,Equatorial Guinea,Fossil fuels,1
MTQ,Martinique,Fossil fuels,1
FLK,Falkland Islands,Nuclear,0
GAB,Gabon,Fossil fuels,1
KOR,South Korea,Fossil fuels,1
KNA,Saint Kitts and Nevis,Fossil fuels,1
DZA,Algeria,Fossil fuels,1
MAR,Morocco,Fossil fuels,1
ESP,Spain,Fossil fuels,1
NZL,New Zealand,Renewable,-1
DOM,Dominican Republic,Fossil fuels,1
ESH,Western Sahara,Fossil fuels,1
