country,label,level,dependence
New Zealand,Tide and wave,4.0,0.0
New Zealand,Solar,4.0,0.0
New Zealand,Fossil fuels,1.0,0.18139534883720929
New Zealand,Nuclear,1.0,0.0
New Zealand,Biomass and waste,3.0,0.013953488372093002
New Zealand,"Solar, tide, wave, fuel cell",3.0,0.002325581395348837
New Zealand,Geothermal,3.0,0.1744186046511628
New Zealand,Wind,0.0,0.04883720930232558
New Zealand,Hydroelectricity,2.0,0.5813953488372093
New Zealand,Renewable,1.0,0.813953488372093
New Zealand,Non-hydro renewable,2.0,0.23255813953488372
New Zealand,Total Electricity net generation,0.0,1.0
New Zealand,Hydroelectric pumped storage,1.0,0.0
Cuba,Tide and wave,4.0,0.0
Cuba,Solar,4.0,0.0
Cuba,Fossil fuels,1.0,1.0
Cuba,Geothermal,3.0,0.0
Cuba,Biomass and waste,3.0,0.031578947368421005
Cuba,Nuclear,1.0,0.0
Cuba,Renewable,1.0,0.042105263157894736
Cuba,Hydroelectricity,2.0,0.0
Cuba,Non-hydro renewable,2.0,0.03684210526315784
Cuba,Total Electricity net generation,0.0,1.0
Cuba,"Solar, tide, wave, fuel cell",3.0,0.0
Cuba,Wind,0.0,0.0
Cuba,Hydroelectric pumped storage,1.0,0.0
Ghana,Solar,4.0,0.0
Ghana,Tide and wave,4.0,0.0
Ghana,Nuclear,1.0,0.0
Ghana,Fossil fuels,1.0,0.5642857142857143
Ghana,"Solar, tide, wave, fuel cell",3.0,0.0
Ghana,Wind,0.0,0.0
Ghana,Geothermal,3.0,0.0
Ghana,Biomass and waste,3.0,0.0
Ghana,Non-hydro renewable,2.0,0.0
Ghana,Renewable,1.0,0.3999999999999999
Ghana,Hydroelectricity,2.0,0.3999999999999999
Ghana,Total Electricity net generation,0.0,1.0
Ghana,Hydroelectric pumped storage,1.0,0.0
Niger,Tide and wave,4.0,0.0
Niger,Solar,4.0,0.0
Niger,Fossil fuels,1.0,1.0
Niger,Nuclear,1.0,0.0
Niger,"Solar, tide, wave, fuel cell",3.0,0.0
Niger,Biomass and waste,3.0,0.0
Niger,Geothermal,3.0,0.0
Niger,Wind,0.0,0.0
Niger,Hydroelectricity,2.0,0.0
Niger,Renewable,1.0,0.0
Niger,Non-hydro renewable,2.0,0.0
Niger,Total Electricity net generation,0.0,1.0
Niger,Hydroelectric pumped storage,1.0,0.0
Mexico,Tide and wave,4.0,0.0
Mexico,Solar,4.0,0.0036065573770491808
Mexico,Fossil fuels,1.0,0.8
Mexico,Nuclear,1.0,0.036065573770491806
Mexico,Geothermal,3.0,0.018688524590163937
Mexico,"Solar, tide, wave, fuel cell",3.0,0.0036065573770491808
Mexico,Wind,0.0,0.032459016393442626
Mexico,Hydroelectricity,2.0,0.10491803278688525
Mexico,Renewable,1.0,0.16721311475409836
Mexico,Non-hydro renewable,2.0,0.06229508196721312
Mexico,Total Electricity net generation,0.0,1.0
Mexico,Biomass and waste,3.0,0.0072131147540983615
Mexico,Hydroelectric pumped storage,1.0,0.0
Central African Republic,Tide and wave,4.0,0.0
Central African Republic,Solar,4.0,0.0
Central African Republic,Fossil fuels,1.0,0.0
Central African Republic,Geothermal,3.0,0.0
Central African Republic,Biomass and waste,3.0,0.0
Central African Republic,Hydroelectricity,2.0,1.0
Central African Republic,Nuclear,1.0,0.0
Central African Republic,Renewable,1.0,1.0
Central African Republic,Non-hydro renewable,2.0,0.0
Central African Republic,Total Electricity net generation,0.0,1.0
Central African Republic,"Solar, tide, wave, fuel cell",3.0,0.0
Central African Republic,Wind,0.0,0.0
Central African Republic,Hydroelectric pumped storage,1.0,0.0
South Korea,Solar,4.0,0.0133383430396393
South Korea,Tide and wave,4.0,0.00375727972947586
South Korea,Nuclear,1.0,0.2648882209280481
South Korea,Fossil fuels,1.0,0.695096749953034
South Korea,Wind,0.0,0.004133007702423446
South Korea,"Solar, tide, wave, fuel cell",3.0,0.01690775878264137
South Korea,Geothermal,3.0,0.0
South Korea,Hydroelectricity,2.0,0.005260191621266202
South Korea,Renewable,1.0,0.039451437159496526
South Korea,Non-hydro renewable,2.0,0.03381551756528274
South Korea,Total Electricity net generation,0.0,0.9975577681758407
South Korea,Biomass and waste,3.0,0.012962615066691717
South Korea,Hydroelectric pumped storage,1.0,-0.002442231824159309
Switzerland,Tide and wave,4.0,0.0
Switzerland,Solar,4.0,0.028716216216216218
Switzerland,Fossil fuels,1.0,0.011824324324324308
Switzerland,Geothermal,3.0,0.0
Switzerland,Biomass and waste,3.0,0.052364864864864864
Switzerland,Hydroelectricity,2.0,0.5743243243243243
Switzerland,Nuclear,1.0,0.33783783783783783
Switzerland,Renewable,1.0,0.6587837837837838
Switzerland,Non-hydro renewable,2.0,0.08277027027027027
Switzerland,Total Electricity net generation,0.0,0.9797297297297297
Switzerland,"Solar, tide, wave, fuel cell",3.0,0.028716216216216218
Switzerland,Wind,0.0,0.0016891891891891893
Switzerland,Hydroelectric pumped storage,1.0,-0.020270270270270268
Martinique,Tide and wave,4.0,0.0
Martinique,Solar,4.0,0.0
Martinique,Fossil fuels,1.0,0.9333333333333327
Martinique,Nuclear,1.0,0.0
Martinique,"Solar, tide, wave, fuel cell",3.0,0.0
Martinique,Biomass and waste,3.0,0.0
Martinique,Geothermal,3.0,0.0
Martinique,Wind,0.0,0.0
Martinique,Hydroelectricity,2.0,0.0
Martinique,Renewable,1.0,0.0
Martinique,Non-hydro renewable,2.0,0.0
Martinique,Total Electricity net generation,0.0,1.0
Martinique,Hydroelectric pumped storage,1.0,0.0
Papua New Guinea,Tide and wave,4.0,0.0
Papua New Guinea,Solar,4.0,0.0
Papua New Guinea,Fossil fuels,1.0,0.794871794871795
Papua New Guinea,Nuclear,1.0,0.0
Papua New Guinea,Wind,0.0,0.0
Papua New Guinea,"Solar, tide, wave, fuel cell",3.0,0.0
Papua New Guinea,Biomass and waste,3.0,0.0
Papua New Guinea,Geothermal,3.0,0.0
Papua New Guinea,Non-hydro renewable,2.0,0.0
Papua New Guinea,Hydroelectricity,2.0,0.2051282051282052
Papua New Guinea,Renewable,1.0,0.2051282051282052
Papua New Guinea,Total Electricity net generation,0.0,1.0
Papua New Guinea,Hydroelectric pumped storage,1.0,0.0
Panama,Tide and wave,4.0,0.0
Panama,Solar,4.0,0.018181818181818184
Panama,Fossil fuels,1.0,0.26363636363636356
Panama,Nuclear,1.0,0.0
Panama,Wind,0.0,0.045454545454545456
Panama,"Solar, tide, wave, fuel cell",3.0,0.018181818181818184
Panama,Biomass and waste,3.0,0.0
Panama,Geothermal,3.0,0.0
Panama,Hydroelectricity,2.0,0.6545454545454545
Panama,Renewable,1.0,0.7181818181818183
Panama,Non-hydro renewable,2.0,0.06363636363636355
Panama,Total Electricity net generation,0.0,1.0
Panama,Hydroelectric pumped storage,1.0,0.0
Kiribati,Solar,4.0,0.0
Kiribati,Tide and wave,4.0,0.0
Kiribati,Nuclear,1.0,0.0
Kiribati,Fossil fuels,1.0,0.0
Kiribati,Wind,0.0,0.0
Kiribati,"Solar, tide, wave, fuel cell",3.0,0.0
Kiribati,Geothermal,3.0,0.0
Kiribati,Hydroelectricity,2.0,0.0
Kiribati,Renewable,1.0,0.0
Kiribati,Non-hydro renewable,2.0,0.0
Kiribati,Total Electricity net generation,0.0,0.0
Kiribati,Biomass and waste,3.0,0.0
Kiribati,Hydroelectric pumped storage,1.0,0.0
Reunion,Tide and wave,4.0,0.0
Reunion,Solar,4.0,0.09677419354838679
Reunion,Fossil fuels,1.0,0.6774193548387097
Reunion,Nuclear,1.0,0.0
Reunion,Wind,0.0,0.0
Reunion,Biomass and waste,3.0,0.09677419354838679
Reunion,Geothermal,3.0,0.0
Reunion,"Solar, tide, wave, fuel cell",3.0,0.09677419354838679
Reunion,Non-hydro renewable,2.0,0.16129032258064516
Reunion,Hydroelectricity,2.0,0.16129032258064516
Reunion,Renewable,1.0,0.3225806451612903
Reunion,Total Electricity net generation,0.0,1.0
Reunion,Hydroelectric pumped storage,1.0,0.0
Burma,Tide and wave,4.0,0.0
Burma,Solar,4.0,0.0
Burma,Fossil fuels,1.0,0.41818181818181815
Burma,Nuclear,1.0,0.0
Burma,Biomass and waste,3.0,0.0
Burma,Geothermal,3.0,0.0
Burma,Wind,0.0,0.0
Burma,"Solar, tide, wave, fuel cell",3.0,0.0
Burma,Hydroelectricity,2.0,0.5454545454545454
Burma,Renewable,1.0,0.5909090909090909
Burma,Non-hydro renewable,2.0,0.0
Burma,Total Electricity net generation,0.0,1.0
Burma,Hydroelectric pumped storage,1.0,0.0
Guatemala,Solar,4.0,0.015384615384615385
Guatemala,Tide and wave,4.0,0.0
Guatemala,Nuclear,1.0,0.0
Guatemala,Fossil fuels,1.0,0.27692307692307694
Guatemala,Wind,0.0,0.015384615384615385
Guatemala,"Solar, tide, wave, fuel cell",3.0,0.015384615384615385
Guatemala,Geothermal,3.0,0.023076923076923002
Guatemala,Non-hydro renewable,2.0,0.24615384615384617
Guatemala,Hydroelectricity,2.0,0.43846153846153846
Guatemala,Renewable,1.0,0.6846153846153846
Guatemala,Total Electricity net generation,0.0,1.0
Guatemala,Biomass and waste,3.0,0.19230769230769232
